totalMoviesReleased,totalCommentsOverall,month,avgImdbRating,avgTomatoesViewerRating,avgCommentsPerMovie,monthName
1502,1300,1,6.69,3.32,0.87,January
1377,2121,2,6.65,3.33,1.54,February
1634,3052,3,6.65,3.35,1.87,March
1599,1234,4,6.62,3.31,0.77,April
1344,5181,5,6.68,3.37,3.85,May
1339,5497,6,6.63,3.34,4.11,June
1184,4830,7,6.56,3.3,4.08,July
1392,2728,8,6.49,3.3,1.96,August
1675,1120,9,6.7,3.33,0.67,September
2003,3440,10,6.65,3.28,1.72,October
1643,3905,11,6.75,3.35,2.38,November
1479,4605,12,6.73,3.38,3.11,December
